,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,busselton,43,AU,1563398085,80,-33.64,115.35,55,11.52
1,sabla,62,NG,1563398085,40,12.75,4.71,91.91,2.59
2,port elizabeth,1,US,1563398085,52,39.31,-74.98,99,4.7
3,madras,40,US,1563397811,31,44.63,-121.13,82.99,5.82
4,bredasdorp,67,ZA,1563397926,67,-34.53,20.04,64.99,9.17
5,bandar-e lengeh,0,IR,1563398085,71,26.56,54.88,89.21,2.44
6,ust-nera,100,RU,1563398086,90,64.57,143.24,45.83,0.72
7,mlonggo,86,ID,1563398086,77,-6.53,110.7,76.97,19.84
8,taolanaro,,,,,,,,
9,rikitea,10,PF,1563398086,72,-23.12,-134.97,71.75,22.3
10,rawson,67,AR,1563397955,43,-43.3,-65.11,54.65,27.67
11,albany,90,US,1563397810,83,42.65,-73.75,77,6.93
12,boguchany,100,RU,1563398087,97,58.38,97.46,61.49,1.1
13,hamilton,75,CA,1563398087,69,43.26,-79.87,84,6.93
14,tari,25,NG,1563398087,45,12.41,4.49,89.57,6.55
15,dikson,0,RU,1563398087,67,73.51,80.55,44.75,10.09
16,cherskiy,11,RU,1563398087,56,68.75,161.3,44.75,8.63
17,illoqqortoormiut,,,,,,,,
18,hilo,90,US,1563398088,88,19.71,-155.08,77,11.41
19,ribeira grande,40,PT,1563397992,83,38.52,-28.7,73.4,5.82
20,aksu,75,KZ,1563398088,77,52.04,76.93,69.8,6.71
21,yeppoon,0,AU,1563398088,75,-23.13,150.74,42.8,4
22,krasnorechenskiy,100,RU,1563398088,99,44.63,135.35,61.13,3.53
23,ushuaia,75,AR,1563398089,44,-54.81,-68.31,41,17.22
24,ruteng,50,ID,1563398089,87,-8.61,120.46,67.97,5.14
25,bluff,0,AU,1563398089,63,-23.58,149.07,47.27,4.59
26,hasaki,75,JP,1563398089,100,35.73,140.83,72,3.36
27,praia da vitoria,20,PT,1563398089,73,38.73,-27.07,73.4,9.04
28,castro,69,CL,1563398077,84,-42.48,-73.76,41.87,11.21
29,upernavik,100,GL,1563398090,89,72.79,-56.15,44.75,11.43
30,saint-francois,0,FR,1563398090,43,46.42,3.91,71.6,1.28
31,paradwip,,,,,,,,
32,namatanai,59,PG,1563398090,82,-3.66,152.44,78.23,5.46
33,new norfolk,20,AU,1563398090,70,-42.78,147.06,44.6,9.17
34,mataura,97,NZ,1563398091,90,-46.19,168.86,39,4
35,kudahuvadhoo,100,MV,1563398091,73,2.67,72.89,81.11,8.57
36,itoman,40,JP,1563398091,83,26.12,127.67,80.6,18.34
37,grand river south east,,,,,,,,
38,san patricio,0,PY,1563398059,81,-26.98,-56.83,58.79,4.09
39,ponta do sol,17,BR,1563398092,60,-20.63,-46,59.69,5.55
40,karpathos,0,GR,1563398092,78,35.51,27.21,75.2,11.41
41,ostrovnoy,1,RU,1563397824,83,68.05,39.51,45.29,8.52
42,thompson,75,CA,1563397794,41,55.74,-97.86,77,8.05
43,wuda,100,CN,1563398092,62,39.5,106.72,73.91,8.63
44,srednekolymsk,96,RU,1563398092,56,67.46,153.71,49.07,12.64
45,dingle,100,PH,1563398093,87,11,122.67,75.35,9.55
46,broome,0,GB,1563398093,72,52.47,1.45,68,10.29
47,nargana,83,PA,1563398093,78,9.44,-78.59,82.73,9.8
48,vardo,20,US,1563398093,78,39.62,-77.74,91.4,5.82
49,hermanus,0,ZA,1563398093,68,-34.42,19.24,64.99,8.01
50,butaritari,100,KI,1563398094,67,3.07,172.79,83.45,4.03
51,barentsburg,,,,,,,,
52,lebu,85,ET,1563398094,90,8.96,38.73,56.27,3.51
53,karratha,0,AU,1563398094,15,-20.74,116.85,61.13,10.98
54,georgetown,75,GY,1563398094,79,6.8,-58.16,84.2,4.7
55,bengkulu,,,,,,,,
56,tuktoyaktuk,75,CA,1563398095,87,69.44,-133.03,60.8,11.41
57,nizhneyansk,,,,,,,,
58,carnarvon,67,ZA,1563398095,16,-30.97,22.13,49.61,5.26
59,nanortalik,100,GL,1563398095,93,60.14,-45.24,41.33,3.22
60,roma,0,IT,1563398008,56,41.89,12.48,75,4.7
61,saint anthony,40,US,1563397924,26,43.97,-111.68,81,18.34
62,korla,,,,,,,,
63,zharkent,0,KZ,1563398096,42,44.17,80,55.01,1.57
64,bambous virieux,40,MU,1563398096,64,-20.34,57.76,71.6,16.11
65,kahului,75,US,1563398089,83,20.89,-156.47,84.2,9.17
66,khatanga,0,RU,1563398096,63,71.98,102.47,54.65,3.11
67,tateyama,100,JP,1563398096,96,36.66,137.31,73.99,0.38
68,bur gabo,,,,,,,,
69,beloha,0,MG,1563398097,58,-25.17,45.06,66.35,7.63
70,alugan,99,PH,1563398097,88,12.22,125.48,75.53,4.03
71,gazanjyk,30,TM,1563398097,54,39.24,55.52,85.97,18.54
72,ukiah,1,US,1563398097,33,39.15,-123.21,93,3.36
73,puerto ayora,20,EC,1563398097,65,-0.74,-90.35,78.8,19.46
74,east london,0,ZA,1563398098,61,-33.02,27.91,56.63,2.24
75,dolbeau,,,,,,,,
76,kamaishi,74,JP,1563398098,98,39.28,141.86,62.21,2.39
77,tjome,0,NO,1563398098,87,59.11,10.39,60.01,10.29
78,iqaluit,75,CA,1563398098,71,63.75,-68.52,55,5.82
79,muana,100,BR,1563397865,92,-1.53,-49.22,77.51,3.62
80,cananeia,49,BR,1563398099,89,-25.01,-47.93,57.71,4.97
81,port alfred,31,ZA,1563397928,86,-33.59,26.89,57.99,1.99
82,havre-saint-pierre,75,CA,1563398099,77,50.23,-63.6,68,11.41
83,noumea,0,NC,1563398099,82,-22.28,166.46,55.4,3.36
84,jalu,0,LY,1563398099,57,29.03,21.55,76.61,17.56
85,olkhovka,100,RU,1563398100,90,53.21,60.61,62.75,4.52
86,adrar,9,DZ,1563398100,8,27.87,-0.29,109.4,5.82
87,mahebourg,40,MU,1563398100,64,-20.41,57.7,71.6,16.11
88,byron bay,0,AU,1563398100,100,-28.65,153.62,55.99,5.82
89,sawakin,0,SD,1563398100,55,19.1,37.33,89.6,5.82
